"","MolecularWeight","XLogP","HydrogenBondDonorCount","HydrogenBondAcceptorCount","PolarSurfaceArea","FormalCharge","NumRings","RotatableBondCount","Refractivity","XLogP","Ro5","Ghose","Veber","Blood","Skin","Brain","Testis","AdiposeTissue","Muscle","Nerve","BloodVessel","Heart","Lung","Esophagus","Kidney","Thyroid","Pituitary","Uterus","Pancreas","Vagina","Stomach","AdrenalGland","Colon","Prostate","Spleen","Liver","FallopianTube","Ovary","Breast","Bladder","CervixUteri","SmallIntestine","SalivaryGland","lossFreq","maxBtwn","maxDegree","nTargets","wQED","response"
"Everolimus",957.581356369,7.40386431433333,3,13,204.66,0,4,9,261.7067,0.00163,1,1,1,1.98146641254425,5.86158466339112,6.42243242263794,10,6.05699634552002,7.71287822723389,7.45222783088684,6.07004594802856,5.28152465820312,6.4058928489685,6.7819619178772,6.1177887916565,7.61887669563293,8.47441339492797,6.98674249649047,3.82649493217468,5.33969378471375,6.36400365829468,6.89323043823243,7.13819861412049,7.70973038673401,6.56459617614746,4.55921292304992,6.45589280128479,5.2019419670105,6.67882204055786,6.91532516479492,5.59911823272705,7.50203609466553,5.95491695404053,0.276255707762557,145928.601178963,166,1,0.842,0
"Fludarabine",365.053662512,-3.61655094146339,5,10,186.07,0,3,4,74.9321,2.97,0,1,1,4.72915458679199,10,8.10384464263916,10,10,10,9.59178495407104,10,6.27453422546387,8.82190227508545,10,4.48226308822632,7.25531339645385,8.14350843429565,9.19159412384034,5.04424428939819,10,8.77584934234619,10,9.5965518951416,8.32400226593018,10,3.06882297992706,8.30090403556824,9.69274520874023,10,10,10,8.2244348526001,10,0.416666666666667,33604.7596337867,578,3,0.714,1
"Calcitriol",416.329045274,4.35074099666667,3,3,60.69,0,3,6,126.5325,0.00667,0,1,1,3.48122644424438,10,0.0774976164102554,0.713119477033615,1.62424397468567,0.764312326908112,0.465412274003029,1.39982414245605,0.182741925120354,5.04859447479248,1.16461515426636,5.92004323005676,1.49754327535629,9.87478351593015,0.566891998052597,0.690557420253754,4.94007158279419,1.01386106014252,5.8015444278717,10,1.42997956275939,1.72587114572525,0.245761267840862,0.818111687898636,0.2685606777668,4.1944682598114,2.80787110328674,2.52430939674377,10,5.01123476028442,0.451327433628319,44680.9782300356,150,1,0.465,0
"Dexamethasone",392.199902243,1.68156967966667,3,5,94.83,0,4,2,102.4929,0.0505,0,0,1,10,10,5.49671363830566,10,10,10,10,10,10,10,10,10,10,10,10,4.40253305435181,10,10,10,10,10,10,4.75985527038574,10,10,10,10,10,10,10,0.509090909090909,256392.74781158,268,4,0.332,0
"Everolimus",957.581356369,7.40386431433333,3,13,204.66,0,4,9,261.7067,0.00163,1,1,1,1.98146641254425,5.86158466339112,6.42243242263794,10,6.05699634552002,7.71287822723389,7.45222783088684,6.07004594802856,5.28152465820312,6.4058928489685,6.7819619178772,6.1177887916565,7.61887669563293,8.47441339492797,6.98674249649047,3.82649493217468,5.33969378471375,6.36400365829468,6.89323043823243,7.13819861412049,7.70973038673401,6.56459617614746,4.55921292304992,6.45589280128479,5.2019419670105,6.67882204055786,6.91532516479492,5.59911823272705,7.50203609466553,5.95491695404053,0.276255707762557,145928.601178963,166,1,0.842,0
"Cyclosporine",1201.841368071,6.91657383533333,5,16,292.76,0,1,15,329.2285,0.00581,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.469387755102041,28805.0464817334,78,3,0.858,0
"Methylprednisolone",374.20932407,1.56000902066667,3,5,94.83,0,4,2,103.0419,0.109,0,0,1,6.51916551589966,9.52912759780884,5.49671363830566,4.09500026702881,10,10,10,9.42045974731445,4.36838817596436,9.54195880889893,6.61841154098511,2.70279932022095,8.64496231079102,8.87772512435913,6.92344951629638,2.97645568847656,7.94568109512329,4.70953559875488,3.02599465847015,3.70062863826751,6.54469776153564,5.59508466720581,4.75985527038574,6.58644819259644,5.09590721130371,10,6.73441171646118,7.2821159362793,5.53861808776855,5.74537658691406,0.350282485875706,256392.74781158,268,1,0.312,0
"Cyclosporine",1201.841368071,6.91657383533333,5,16,292.76,0,1,15,329.2285,0.00581,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.469387755102041,28805.0464817334,78,3,0.858,0
"Dexmedetomidine",200.131348522,3.39031483866667,1,1,28.68,0,2,2,62.9831,0.174,0,0,0,0.0623733922839165,2.74101376533508,1.22963869571686,5.41671943664551,10,0.255605459213257,8.15998554229737,2.60216164588928,0.515974223613739,2.23934173583984,1.23677492141724,1.25160771608353,6.01798009872437,1.04881238937378,4.60031342506409,10,10,0.913578510284424,0.997452557086945,5.04452586174011,4.62803292274475,9.75853061676024,0.326055407524109,2.9419002532959,10,10,5.55162382125854,10,4.16848421096802,5.42255020141602,0.516666666666667,2815.51799259056,20,1,0.209,1
"Topotecan",421.163770861,-0.357095077221023,2,6,103.2,0,5,3,115.0161,0.861,0,0,1,10,10,10,10,10,8.79824924468994,10,10,9.65638065338135,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.650375939849624,102739.57793104,492,2,0.578,0
"Sildenafil",474.204924168,1.64648212769532,1,8,109.13,0,4,6,139.4405,0.433,0,1,1,1.55148768424988,1.56244689226151,1.00884830951691,3.72552347183227,6.32443428039551,1.37352895736694,5.90266561508179,10,1.44966769218445,7.69249248504639,10,0.865481525659561,6.6092586517334,1.92699193954468,4.25009965896606,3.09379768371582,7.62841439247132,2.46818780899048,2.32873952388764,7.92660760879516,10,4.67496681213379,0.371060699224472,9.19809055328369,2.12318444252014,5.73008704185485,5.36263370513916,8.61877822875977,4.78129816055298,2.13508987426758,0.794871794871795,47650.242042929,30,3,0.546,1
"Vorinostat",264.147392516,2.00396924933333,3,3,78.43,0,1,8,73.8051,0.0716,0,0,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.571428571428571,1493585.62202262,1954,5,0.619,0
"Pioglitazone",356.119463206,3.32824869988626,1,4,68.29,0,3,7,97.3908,0.00442,0,0,1,0.854906141757965,4.44256591796875,0.943804919719696,3.31889891624451,10,1.05971097946167,6.17432045936584,1.88643550872803,3.37892389297485,7.83619976043701,1.74451410770416,4.52354693412781,7.77050137519837,0.199517853558064,3.20663619041443,0.666075348854065,3.55522406101226,6.3813910484314,1.50120013952256,10,2.50508797168732,5.54591131210328,2.25715863704681,3.09982061386108,6.8836874961853,10,10,4.94568681716919,4.52101135253906,2.26056289672852,0.447619047619048,75952.2562377524,146,1,0.172,0
"Sunitinib",398.211804333,2.92737681366667,3,3,77.23,0,3,7,116.2663,0.0308,0,0,1,10,10,8.40805912017822,10,10,10,10,10,10,10,10,10,10,10,10,9.1515588760376,10,10,10,10,10,10,4.5643765926361,10,10,10,10,10,10,10,0.356353591160221,132430.983422033,186,8,0.373,0
"Prednisolone",360.193674006,1.27298992433333,3,5,94.83,0,4,2,98.4933,0.239,0,0,1,6.51916551589966,9.52912759780884,5.49671363830566,4.09500026702881,10,10,10,9.42045974731445,4.36838817596436,9.54195880889893,6.61841154098511,2.70279932022095,8.64496231079102,8.87772512435913,6.92344951629638,2.97645568847656,7.94568109512329,4.70953559875488,3.02599465847015,3.70062863826751,6.54469776153564,5.59508466720581,4.75985527038574,6.58644819259644,5.09590721130371,10,6.73441171646118,7.2821159362793,5.53861808776855,5.74537658691406,0.350282485875706,256392.74781158,268,1,0.304,0
"Gabapentin",171.125928793,-1.2730330706628,2,3,63.32,0,1,3,46.3283,4.34,0,1,1,0.253944575786591,2.796133518219,10,10,5.0775318145752,10,3.08949267864228,5.17411994934082,5.47537708282471,10,3.70884370803833,3.51964604854584,5.96821355819702,8.63495063781738,3.72723495960236,3.81634163856506,2.21749949455261,2.44491410255432,5.41908264160156,2.79577910900116,3.24155437946319,3.10795891284942,0.226380452513695,3.3360675573349,3.520840883255,2.69510936737061,5.25130033493042,2.62303471565247,1.34678149223328,2.04693174362183,0.435483870967742,7460.15069008384,32,4,0.478,0
"Lenalidomide",259.095691297,-0.707852159,2,4,92.5,0,3,1,68.2981,2.33,0,1,1,1.02508628368378,3.11972200870514,3.70113110542297,6.3449387550354,10,6.33867454528809,10,5.99543476104736,10,10,8.04398345947266,6.52386403083801,10,3.73052632808685,10,2.4267590045929,7.76979970932007,5.50975036621094,7.04789161682129,5.06483793258667,6.8059606552124,9.95505094528199,2.70762789249421,10,3.10485577583313,10,7.27810573577881,10,8.76734924316406,5.80036354064941,0.470588235294118,51384.3547561623,48,3,0.542,1
"Ropivacaine",274.204513464,4.07095021933333,1,2,32.34,0,2,4,85.5923,0.253,0,0,0,0,0,0,0.190577067434788,0,0,0,0.00781925674527884,0.0464892722666264,0,0,0,0,0,0,0,0,0,0,0,0,0.00720545346848667,0,0,0,0,0,0.00981784239411354,0,0,0.544354838709677,311.923861315267,4,1,0.085,0
"Alprazolam",308.082874143,2.3741,0,3,43.07,0,4,1,98.879,0.0324,0,0,1,0.0398361012339592,10,10,5.31765294075012,10,0.953707158565521,10,8.73985195159912,7.61603116989136,10,8.16961765289307,4.78230810165405,10,10,10,7.05588054656982,10,2.43911790847778,3.30552124977112,7.01413607597351,10,9.46431636810302,2.25188815593719,9.87030696868897,6.17726993560791,10,10,10,10,10,0.52991452991453,8267.84453297287,28,16,0.308,1
"Pentoxifylline",278.137890462,0.232205845666666,0,4,75.51,0,2,5,73.5223,5.17,0,0,1,3.97474789619446,9.68792915344238,10,10,9.54545021057129,5.08797168731689,10,10,3.79524898529053,7.69249248504639,10,3.51964604854584,10,4.50050902366638,10,4.3688817024231,10,7.49174737930298,3.10833990573883,8.50485706329346,10,7.17157101631165,8.39328098297119,10,10,10,9.37580490112305,10,7.26258277893066,6.40662240982056,0.506666666666667,2345.31828400441,22,6,0.381,0
"Clofarabine",303.053445155,-0.291321752333333,3,7,119.31,0,3,2,67.0021,4.89,0,0,1,2.55720543861389,10,6.04993772506714,10,10,10,9.59178495407104,10,6.27453422546387,8.82190227508545,10,4.48226308822632,7.25531339645385,8.14350843429565,9.19159412384034,5.04424428939819,10,8.77584934234619,10,9.5965518951416,8.32400226593018,7.57436490058898,3.06882297992706,8.30090403556824,9.69274520874023,10,10,10,8.2244348526001,10,0.416666666666667,33604.7596337867,578,2,0.317,0
"Didanosine",236.09094027,-0.351636408333334,2,6,88.74,0,3,2,58.5938,6.58,0,0,1,10,5.09368300437928,2.08123898506165,1.95297884941101,6.61434888839722,0.496573030948639,3.10679924488067,2.98434996604919,1.80962526798248,7.61990737915039,4.15956878662109,10,3.73649644851684,4.00388503074646,2.70188164710998,2.14441442489624,9.08380222320556,8.01498317718506,3.21011817455291,8.9662823677063,2.33645045757294,8.90500545501709,5.12715220451355,4.7960810661316,0.758812189102173,5.14549732208252,3.69979238510132,2.04140305519104,7.88188600540161,5.53874015808105,0.477664399092971,1850.14268872294,18,1,0.407,0
"Pentostatin",268.11715502,-2.016391028,4,7,112.13,0,3,2,64.9814,10.7,0,1,1,5.72135019302368,4.86571002006531,1.44565939903259,2.95110142230988,8.89361381530762,1.46535587310791,3.2157244682312,2.07826733589172,4.46566247940063,3.87439060211182,4.17644739151001,1.79107499122619,4.09693360328674,1.03721070289612,2.77078926563263,1.71235048770905,3.52526664733886,10,3.87512743473053,2.3892570734024,3.0147385597229,10,1.29320627450943,4.28163719177246,1.26035785675049,4.86991930007934,2.31531882286072,3.43723249435425,4.02405309677124,3.8114218711853,0.505376344086022,1275.00209702589,14,1,0.511,0
"Galantamine",287.152143543,1.16304280366667,1,4,41.93,0,4,1,82.3049,1.7,0,0,1,1.46821141242981,2.68707418441772,10,4.51794004440307,2.66598749160767,10,3.00766599178314,2.32157611846924,3.67912983894348,3.62605237960815,5.88380718231201,4.22900199890137,7.33838033676147,10,6.59900760650634,4.83711051940918,3.36880111694336,1.9783353805542,10,4.31208348274231,6.24004626274109,4.03442931175232,10,10,2.20132446289062,3.12505710124969,2.28329467773438,6.33323574066162,4.15642833709717,4.45480012893677,0.684210526315789,51784.0228675716,20,18,0.207,0
"Rivastigmine",250.168127958,2.40909313433333,0,2,32.78,0,1,5,73.3706,2.04,0,0,0,0.732271254062653,1.06814074516296,10,3.6162074804306,0.614776730537415,7.81992101669312,0.389408782124519,0.333128482103348,0.735573649406433,3.62605237960815,5.88380718231201,1.86537915468216,0.766010880470276,5.35457396507263,6.59900760650634,1.13494598865509,1.76438909769058,0.504009544849396,0.686827510595321,4.31208348274231,4.21928811073303,2.05280709266663,10,10,2.20132446289062,1.12423181533813,1.97034335136414,6.33323574066162,4.15642833709717,3.47396659851074,0.565445026178011,51784.0228675716,20,2,0.196,0
"Domperidone",425.161852744,2.900103093,2,3,67.92,0,5,5,119.3737,0.0925,0,0,1,0.00785051845014095,0.067573931068182,0.828758955001831,0.774569302797317,0.092959851026535,0.120648145675659,1.24304395914078,0.0563070140779018,0.0174489971250296,0.0362639464437962,0.107775330543518,0.0459560137242079,0.023290446959436,10,0.304680526256561,0.0430054441094398,0.258125238120556,0.038619764149189,0.0567827615886927,0.101115141063928,0.390641883015633,0.0131596415303648,0.00536650023423135,0.249922402203083,0.0762749090790749,0.688240379095078,0.0854959413409233,0.19167523086071,0.111094236373901,6.04128122329712,0.394230769230769,39011.4658066726,40,2,0.548,0
"Sorafenib",464.08630272,4.34332976066667,3,3,92.35,0,3,6,114.5183,0.00171,0,0,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.528571428571429,251309.154502521,246,10,0.487,0
"Hydroxychloroquine",335.176440176,2.88697117466667,2,4,48.39,0,2,9,97.9667,0.0261,0,0,1,0.726008892059326,0.0112279518507421,0.316364020109177,0.0761083140969276,0.226819217205048,0.0155283408239484,0.25142065435648,0.161087110638618,0.0340052172541618,0.38775622844696,0.0820742920041084,0.053015885874629,0.0847031213343143,0.0900842919945717,0.0629775002598763,0.0555763691663742,0.0817201249301434,0.085266575217247,0.193252377212047,0.197174452245235,0.20988941192627,1.0173043012619,0.0314342454075813,0.0778571590781212,0.0617481358349323,0.184285648167133,0.194226324558258,0.0659152716398239,0.479601830244064,0.227978199720383,0.341269841269841,0,2,1,0.27,0
"Varenicline",211.110947431,1.007627996,1,3,37.81,0,4,0,61.303,0.0877,0,0,0,0.0813373923301697,0.0815543867647648,2.1880476474762,2.01131224632263,0.264109760522842,0.0960889011621475,0.448125749826431,0.253420829772949,0.223117649555206,0.379388749599457,0.196961894631386,1.29179081320763,1.45501261949539,1.55800795555115,0.302589356899261,0.69721794128418,0.353876829147338,1.33083987236023,0.179359748959541,1.77881163358688,0.747715324163437,0.809225529432297,10,0.270809352397918,0.814338088035583,0.324704557657241,0.756506621837616,0.406450152397156,1.26131618022919,0.274607092142105,0.53448275862069,24492.4526567676,12,4,0.285,0
"Minocycline",457.184900233,-3.33419158928249,5,9,164.63,0,4,3,122.5402,3.07,0,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.48936170212766,348521.379183772,624,6,0.608,0
"Indomethacin",357.076785712,3.52967437966667,1,4,68.53,0,3,4,94.8106,0.0024,0,0,1,8.44470596313477,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.55,75952.2562377524,146,6,0.407,0
"Gemcitabine",263.071762265,-1.466539628,3,6,108.38,0,2,2,53.2503,22.3,0,1,1,8.97357940673828,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.536585365853659,17112.1809134262,578,3,0.3,1
"Capecitabine",359.149263656,0.768036046999999,3,6,120.69,0,2,7,82.746,0.248,0,0,1,4.46774625778198,10,3.35583400726318,10,2.42325329780579,0.495607256889343,2.5545619726181,2.70100688934326,1.44377243518829,4.94026851654053,4.98864698410034,6.84385275840759,4.1037826538086,3.76585435867309,2.75144255161285,3.05695033073425,6.51611542701722,3.61662316322327,4.08077239990235,10,5.00479984283447,10,2.10768842697144,2.24457436800003,3.06764507293701,4.03315854072571,3.34115982055664,3.67220163345337,9.63755702972412,7.71872901916504,0.536585365853659,0,2,1,0.371,0
"Vorinostat",264.147392516,2.00396924933333,3,3,78.43,0,1,8,73.8051,0.0716,0,0,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.571428571428571,1493585.62202262,1954,5,0.619,0
"Nilotinib",529.183792976,4.4077,2,6,97.62,0,5,7,152.8501,0.00201,1,1,1,2.62772989273071,10,10,10,10,9.21324825286865,10,10,10,10,10,10,10,10,10,8.92826843261719,10,10,10,10,10,10,5.70090317726135,10,10,10,10,10,10,10,0.40406976744186,1016222.46994646,518,2,0.678,0
