,X,MolecularWeight,XLogP,HydrogenBondDonorCount,HydrogenBondAcceptorCount,PolarSurfaceArea,FormalCharge,NumRings,RotatableBondCount,Refractivity,XLogP.1,Ro5,Ghose,Veber,Blood,Skin,Brain,Testis,AdiposeTissue,Muscle,Nerve,BloodVessel,Heart,Lung,Esophagus,Kidney,Thyroid,Pituitary,Uterus,Pancreas,Vagina,Stomach,AdrenalGland,Colon,Prostate,Spleen,Liver,FallopianTube,Ovary,Breast,Bladder,CervixUteri,SmallIntestine,SalivaryGland,lossFreq,maxBtwn,maxDegree,nTargets,wQED,response,PC1,PC2,PC3
25,Everolimus,957.5813564,7.403864314,3,13,204.66,0,4,9,261.7067,0.00163,1,1,1,1.981466413,5.861584663,6.422432423,10,6.056996346,7.712878227,7.452227831,6.070045948,5.281524658,6.405892849,6.781961918,6.117788792,7.618876696,8.474413395,6.986742496,3.826494932,5.339693785,6.364003658,6.893230438,7.138198614,7.709730387,6.564596176,4.559212923,6.455892801,5.201941967,6.678822041,6.915325165,5.599118233,7.502036095,5.954916954,0.2762557078,145928.6012,166,1,0.842,1,2.615584444,-0.4969920315,-0.7018960992
26,Cyclosporine,1201.841368,6.916573835,5,16,292.76,0,1,15,329.2285,0.00581,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.4693877551,28805.04648,78,3,0.858,1,7.460322745,-0.7059190306,-0.5662501631
27,Methylprednisolone,374.2093241,1.560009021,3,5,94.83,0,4,2,103.0419,0.109,0,0,1,6.519165516,9.529127598,5.496713638,4.095000267,10,10,10,9.420459747,4.368388176,9.541958809,6.618411541,2.70279932,8.644962311,8.877725124,6.923449516,2.976455688,7.945681095,4.709535599,3.025994658,3.700628638,6.544697762,5.595084667,4.75985527,6.586448193,5.095907211,10,6.734411716,7.282115936,5.538618088,5.745376587,0.3502824859,256392.7478,268,1,0.312,1,2.94988952,0.761312217,0.5485669744
28,Cyclosporine,1201.841368,6.916573835,5,16,292.76,0,1,15,329.2285,0.00581,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.4693877551,28805.04648,78,3,0.858,1,7.460322745,-0.7059190306,-0.5662501631
29,Dexmedetomidine,200.1313485,3.390314839,1,1,28.68,0,2,2,62.9831,0.174,0,0,0,0.06237339228,2.741013765,1.229638696,5.416719437,10,0.2556054592,8.159985542,2.602161646,0.5159742236,2.239341736,1.236774921,1.251607716,6.017980099,1.048812389,4.600313425,10,10,0.9135785103,0.9974525571,5.044525862,4.628032923,9.758530617,0.3260554075,2.941900253,10,10,5.551623821,10,4.168484211,5.422550201,0.5166666667,2815.517993,20,1,0.209,0,0.3174767534,2.551735945,0.7284126395
30,Topotecan,421.1637709,-0.3570950772,2,6,103.2,0,5,3,115.0161,0.861,0,0,1,10,10,10,10,10,8.798249245,10,10,9.656380653,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.6503759398,102739.5779,492,2,0.578,0,7.396361237,-0.6642782667,-0.4844336312
31,Sildenafil,474.2049242,1.646482128,1,8,109.13,0,4,6,139.4405,0.433,0,1,1,1.551487684,1.562446892,1.00884831,3.725523472,6.32443428,1.373528957,5.902665615,10,1.449667692,7.692492485,10,0.8654815257,6.609258652,1.92699194,4.250099659,3.093797684,7.628414392,2.468187809,2.328739524,7.926607609,10,4.674966812,0.3710606992,9.198090553,2.123184443,5.730087042,5.362633705,8.618778229,4.781298161,2.135089874,0.7948717949,47650.24204,30,3,0.546,0,0.4421093768,1.525827162,1.64180574
32,Vorinostat,264.1473925,2.003969249,3,3,78.43,0,1,8,73.8051,0.0716,0,0,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.5714285714,1493585.622,1954,5,0.619,1,7.460322745,-0.7059190306,-0.5662501631
33,Pioglitazone,356.1194632,3.3282487,1,4,68.29,0,3,7,97.3908,0.00442,0,0,1,0.8549061418,4.442565918,0.9438049197,3.318898916,10,1.059710979,6.174320459,1.886435509,3.378923893,7.83619976,1.744514108,4.523546934,7.770501375,0.1995178536,3.20663619,0.6660753489,3.555224061,6.381391048,1.50120014,10,2.505087972,5.545911312,2.257158637,3.099820614,6.883687496,10,10,4.945686817,4.521011353,2.260562897,0.4476190476,75952.25624,146,1,0.172,0,0.01597229597,0.4966111411,1.826088409
34,Sunitinib,398.2118043,2.927376814,3,3,77.23,0,3,7,116.2663,0.0308,0,0,1,10,10,8.40805912,10,10,10,10,10,10,10,10,10,10,10,10,9.151558876,10,10,10,10,10,10,4.564376593,10,10,10,10,10,10,10,0.3563535912,132430.9834,186,8,0.373,1,7.164221871,-0.621065412,-0.06624607665
